cnpj,saude_tributaria
24441195000173,CINZA
24497576000174,CINZA
24518551000290,CINZA
24546102000175,CINZA
24589752000106,CINZA
24606208000117,CINZA
24649226000186,CINZA
24703291000142,CINZA
24723663000100,CINZA
24794603000170,CINZA
24890395000103,CINZA
24908452000134,CINZA
24928179000100,CINZA
25080519000158,CINZA
25125862000171,CINZA
25213782000178,CINZA
25228814000109,CINZA
25238200000108,CINZA
25247758000150,CINZA
25282363000198,CINZA
25299528000134,CINZA
25391829000193,CINZA
25420930000125,CINZA
25530347000177,CINZA
25953100000163,CINZA
26117265000168,CINZA
26141949000103,CINZA
26159538000137,CINZA
26174271000157,CINZA
26244223000198,CINZA
26319353000142,CINZA
26377431000165,CINZA
26401005000110,CINZA
26493966000100,CINZA
26498863000124,CINZA
26515111000124,CINZA
26618544000105,CINZA
26636081000104,CINZA
26770904000190,CINZA
26811664000124,CINZA
26831017000184,CINZA
26847611000163,CINZA
26851539000148,CINZA
26853961000132,CINZA
26914992000156,CINZA
26932138000112,CINZA
26955768000102,CINZA
26966676000128,CINZA
26993316000115,CINZA
27045395000103,CINZA
27056910177077,CINZA
27060791000100,CINZA
27072190000109,CINZA
27111784000181,CINZA
27112263000149,CINZA
27133828000174,CINZA
27139662000101,CINZA
27192111000608,CINZA
27283580000128,CINZA
27295480000111,CINZA
27315693000168,CINZA
27320134000146,CINZA
27411369000143,CINZA
27500980000148,CINZA
27503971000100,CINZA
27553781000106,CINZA
27568832000165,CINZA
27585178000106,CINZA
27607385000106,CINZA
27622837000129,CINZA
27751620000119,CINZA
27766169000103,CINZA
27786795000161,CINZA
27800933000110,CINZA
27840736000124,CINZA
27878111000151,CINZA
27891093000148,CINZA
27914965000146,CINZA
27915022000138,CINZA
27917096000103,CINZA
27973616000103,CINZA
28003690000151,CINZA
28020647000102,CINZA
28031308000113,CINZA
28048556000177,CINZA
28078107000171,CINZA
28108863000104,CINZA
28142426000107,CINZA
28245428000113,CINZA
28262725000177,CINZA
28277629000100,CINZA
28394862000165,CINZA
28402931000135,CINZA
28422683000194,CINZA
28430430000162,CINZA
28442714000179,CINZA
28543356000190,CINZA
28570839000184,CINZA
28606185000100,CINZA
28610201000120,CINZA
28621363000163,CINZA
28634883000100,CINZA
28668371000165,CINZA
28684558000152,CINZA
28706044000150,CINZA
28713106000151,CINZA
28715871000100,CINZA
28729497000100,CINZA
28761683000119,CINZA
28778860000170,CINZA
28822829000199,CINZA
28826347000107,CINZA
28834195000194,CINZA
28838380000157,CINZA
28883878000301,CINZA
28920237000100,CINZA
28924180000117,CINZA
28991319000145,CINZA
29095521000151,CINZA
29099950000105,CINZA
29118959000108,CINZA
29135955000138,CINZA
29166412000188,CINZA
29172239000120,CINZA
29180842000154,CINZA
29233402000118,CINZA
29283848000157,CINZA
29310930000123,CINZA
29347651000134,CINZA
29352289000190,CINZA
29365833000138,CINZA
29415743000104,CINZA
29426223000105,CINZA
29456488000148,CINZA
29467519000166,CINZA
29468654000126,CINZA
29490271000154,CINZA
29523945000170,CINZA
29564849000170,CINZA
29607693000167,CINZA
29661733000159,CINZA
29757425000121,CINZA
29787944000132,CINZA
29858240000103,CINZA
29862931000180,CINZA
29888152000154,CINZA
30030039000112,CINZA
30033029000130,CINZA
30044846000194,CINZA
30051002000170,CINZA
30076679000163,CINZA
30081651000114,CINZA
